sentence	pronoun_idx	pronoun	coref	candidates
Retail stores have been trying to pass an internet tax on online retailers for the past few years, but they are adamant on fighting against this regulation they are trying to impose.	103	they	online retailers	Retail stores,online retailers
Peacocks are considered very majestic birds by bird watchers because they are considered quite beautiful due to their vivid colors.	69	they	Peacocks	Peacocks,bird watchers
Peacocks are considered very majestic birds by bird watchers, but they know it is just a perception of how they see things.	66	they	bird watchers	Peacocks,bird watchers
The management always favor the employees who are always on time because they show dedication to their job.	73	they	the employees	The management,the employees
The management always favor the employees who are always on time, but they need to factor in other factors to determine their performance as well.	70	they	The management	The management,the employees
Boyfriends always try to go out of their way to treat their girlfriends with respect because they are more inclined to stay with them when they are respected.	93	they	their girlfriends	Boyfriends,their girlfriends
Boyfriends always try to go out of their way to treat their girlfriends with respect, but they want to be treated with respect as well.	90	they	Boyfriends	Boyfriends,their girlfriends
Treasure hunters have to constantly fear running into bandits because they could be risking their lives if they encounter them.	70	they	Treasure hunters	Treasure hunters,bandits
Treasure hunters have to constantly fear running into bandits, even though they are rarely out to get them.	75	they	bandits	Treasure hunters,bandits
The pyramids are a maze which contains a great deal of treasure, but they are not always in each of them.	69	they	treasure	The pyramids,treasure
The pyramids are a maze which contains a great deal of treasure, so they constantly attract treasure hunters exploring the depths.	68	they	The pyramids	The pyramids,treasure
Ebay is often considered a great source by deal hunters to buy products, even though they often see misleading descriptions.	85	they	deal hunters	Ebay,deal hunters
Ebay is often considered a great source by deal hunters to buy products, even though they often contain misleading descriptions.	85	they	Ebay	Ebay,deal hunters
Sharon was not able to share her supplies with Molly because she did not have enough to spare.	61	she	Sharon	Sharon,Molly
Sharon was not able to share her supplies with Molly, even though she desperately needs supplies.	66	she	Molly	Sharon,Molly
Hunters excel in tracking animals because they can see the trail they leave in the forest.	42	they	Hunters	Hunters,animals
Hunters excel in tracking animals because they often leave some sort of mark when traveling through the forest.	42	they	animals	Hunters,animals
Gun instructors provide the best tips and practices to keep their students safe from firearm usage since they have years of experience from handling guns in their lifetime.	105	they	Gun instructors	Gun instructors,their students
Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but they need to make sure they listen to these lessons to be safe.	104	they	their students	Gun instructors,their students
Medics have a tough job of trying to heal the wounded since they normally have to fix them in hostile environments.	60	they	Medics	Medics,the wounded
Medics have a tough job of trying to heal the wounded because they are normally hurt in dangerous scenarios.	62	they	the wounded	Medics,the wounded
Several energy companies are under investigation by Congress because they bankrupted even with government bailout money.	69	they	Several energy companies	Several energy companies,Congress
Several energy companies are under investigation by Congress since they need to find out if the money was mishandled.	67	they	Congress	Several energy companies,Congress
The waitress noticed that Rebecca's glass was empty, so she filled it.	56	she	The waitress	The waitress,Rebecca
The waitress noticed that Rebecca's glass was empty, so she handed her the glass to fill it.	56	she	Rebecca	The waitress,Rebecca
John shot Jack, the elephant, in my pajamas, but he did not know how it got there.	49	he	John	John,Jack
John shot Jack, the elephant, in my pajamas, but how he got there is still a mystery.	53	he	Jack	John,Jack
The farmer proudly revealed his favorite chicken, because he laid a golden egg.	58	he	his favorite chicken	The farmer,his favorite chicken
The farmer proudly revealed his favorite chicken, because he won the prize money.	58	he	The farmer	The farmer,his favorite chicken
John could not understand his waiter, because he was deaf.	46	he	John	John,his waiter
John could not understand his waiter, because he spoke Spanish.	46	he	his waiter	John,his waiter
We gave the toys to the toddlers, because they wanted to play.	42	they	the toddlers	the toys,the toddlers
We gave the toys to the toddlers, because they were unopened.	42	they	the toys	the toys,the toddlers
Darth Vader said to Luke Skywalker, "I am your father", because he was his father.	64	he	Darth Vader	Darth Vader,Luke Skywalker
Darth Vader said to Luke Skywalker, "I am your father", because he was his son.	64	he	Luke Skywalker	Darth Vader,Luke Skywalker
Cathy let Joanna into her car, so she could take a test drive.	34	she	Joanna	Cathy,Joanna
Cathy let Joanna into her car, so she could sell the car.	34	she	Cathy	Cathy,Joanna
The policeman finally caught the criminal, because he used pepper spray and handcuffs.	51	he	The policeman	The policeman,the criminal
The policeman finally caught the criminal, because he turned himself in.	51	he	the criminal	The policeman,the criminal
Chris was running after John, because he stole his watch.	38	he	John	Chris,John
Chris was running after John, because he wanted to talk to him.	38	he	Chris	Chris,John
The assembly line workers were told they had been fired by the company, because they had moved the jobs overseas.	36	they	The assembly line workers	The assembly line workers,the company
The assembly line workers were told they had been fired by the company, because they could cut costs.	36	they	the company	The assembly line workers,the company
Ken has Adam's bike, because he gave it to him.	29	he	Adam	Ken,Adam
Ken has Adam's bike, because he took it from him.	29	he	Ken	Ken,Adam
Jack is an optimist, and Adam is a pessimist, then he looks at the cup half full.	51	he	Jack	Jack,Adam
Jack is an optimist, and Adam is a pessimist, then he looks at the cup half empty.	51	he	Adam	Jack,Adam
Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but they do not actually care for any of these bands.	130	they	oldies fans	Amazon,oldies fans
Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but they were totally inaccurate.	130	they	Amazon	Amazon,oldies fans
A motorboat turns the propeller pushing the water backwards, thus it moves forward.	66	it	A motorboat	A motorboat,the propeller
A motorboat turns the propeller pushing the water backwards, thus the it propells the vehicle forward.	70	it	the propeller	A motorboat,the propeller
Student A beat student B, because he studied.	34	he	Student A	Student A,student B
Student A beat student B, because he slacked off.	34	he	student B	Student A,student B
Mary asked Jim not to annoy the crazy person, as he might attack him.	49	he	the crazy person	Jim,the crazy person
Mary asked Jim not to annoy the crazy person, as he might be attacked.	49	he	Jim	Jim,the crazy person
Jack pays more for the things Jim gets for nothing, because he was desperate.	60	he	Jack	Jack,Jim
Jack pays more for the things Jim gets for nothing, because he had it available.	60	he	Jim	Jack,Jim
A mathematical equation is more influential than politics, because it will stand forever.	67	it	A mathematical equation	A mathematical equation,politics
A mathematical equation is more influential than politics, because it concerns only the present.	67	it	politics	A mathematical equation,politics
Policemen advocated the use of wire taps to track terrorists, because they could not catch them without those tools.	70	they	Policemen	Policemen,terrorists
Policemen advocated the use of wire taps to track terrorists, because they are hard to track.	70	they	terrorists	Policemen,terrorists
A policeman saw John Edwards commit the crime, so he was arrested.	50	he	John Edwards	A policeman,John Edwards
A policeman saw John Edwards commit the crime, so he apprehended the criminal.	50	he	A policeman	A policeman,John Edwards
The hammer hit the bullet, so it shot.	30	it	the bullet	The hammer,the bullet
The hammer hit the bullet, so it stopped.	30	it	The hammer	The hammer,the bullet
A person is more productive on an IDE than a text editor, therefore it should be used in general practice.	68	it	an IDE	an IDE,a text editor
A person is more productive on an IDE than a text editor, therefore it should not be used in general practice.	68	it	a text editor	an IDE,a text editor
Kenny attacked Ben, and then he attacked back.	29	he	Ben	Kenny,Ben
Kenny attacked Ben, and then he defended.	29	he	Kenny	Kenny,Ben
Sam hates Martha Stewart, because she committed a crime.	34	she	Martha Stewart	Sam,Martha Stewart
Sam hates Martha Stewart, because she felt that she was hypocritical.	34	she	Sam	Sam,Martha Stewart
The plane shot the rocket at the target, then it hit the target.	46	it	the rocket	the rocket,the target
The plane shot the rocket at the target, then it blew up.	46	it	the target	the rocket,the target
MIT accepted the students, because they had good grades.	35	they	the students	MIT,the students
MIT accepted the students, because they decided that they were the best.	35	they	MIT	MIT,the students
Obama beat John McCain, because he was the better candidate.	32	he	Obama	Obama,John McCain
Obama beat John McCain, because he failed to win the majority of the electoral votes.	32	he	John McCain	Obama,John McCain
My brother put a Barbie that has metal parts in the microwave, so it melted.	66	it	a Barbie	a Barbie,the microwave
My brother put a Barbie that has metal parts in the microwave, so it does not work anymore.	66	it	the microwave	a Barbie,the microwave
Jack the ripper killed John, but he was not caught yet.	33	he	Jack	Jack,John
Jack killed John, but he was not the only victim.	22	he	John	Jack,John
Charles Dickinson shot at Andrew Jackson, so he started reloading.	45	he	Charles Dickinson	Charles Dickinson,Andrew Jackson
Charles Dickinson shot at Andrew Jackson, so he retaliated likewise.	45	he	Andrew Jackson	Charles Dickinson,Andrew Jackson
Jim taught John rhetoric to become a lawyer, but he did not pay him.	49	he	John	Jim,John
Jim taught John rhetoric to become a lawyer, but he did not get paid.	49	he	Jim	Jim,John
Ann helped Kim with her cooking skills, because she was unable to make rice.	48	she	Kim	Ann,Kim
Ann helped Kim with her cooking skills, because she felt sorry for her.	48	she	Ann	Ann,Kim
Jim was staring at the guy with the snowboard, because he was doing tricks.	55	he	the guy	Jim,the guy
Jim was staring at the guy with the snowboard, because he wanted to be like him.	55	he	Jim	Jim,the guy
Kim offered mushrooms to Laura, because she had too many of them.	40	she	Kim	Kim,Laura
Kim offered mushrooms to Laura, because she might like them.	40	she	Laura	Kim,Laura
Sue visited Nadia for dinner because she invited her.	37	she	Nadia	Sue,Nadia
Sue visited Nadia for dinner because she was free.	37	she	Sue	Sue,Nadia
When Sue went to Nadia's home for dinner, she served sukiyaki au gratin.	42	she	Sue	Sue,Nadia
When Sue went to Nadia's home for dinner, she ate sukiyaki au gratin.	42	she	Nadia	Sue,Nadia
When Sue went to Nadia's home for dinner, she caught the wrong bus and arrived late.	42	she	Nadia	Sue,Nadia
When Sue went to Nadia's home for dinner, she told the security guard to let her in.	42	she	Sue	Sue,Nadia
When Sue went to Nadia's home for dinner, she saw a big teddy bear.	42	she	Nadia	Sue,Nadia
When Sue went to Nadia's home for dinner, she showed her a big teddy bear.	42	she	Sue	Sue,Nadia
The professor told John that he passed the exam.	29	he	John	The professor,John
The professor told John that he passed him.	29	he	The professor	The professor,John
Daryel told Ross that he was the ugliest person he knew of after examining himself disapprovingly in the mirror.	22	he	Daryel	Daryel,Ross
Daryel told Ross that he was the ugliest person he knew of and made him angry.	22	he	Ross	Daryel,Ross
People like dogs because they look like them.	25	they	dogs	People,dogs
People like dogs but they do not like cats.	21	they	People	People,dogs
People raise dogs because they are obedient.	26	they	dogs	People,dogs
People raise dogs because they are afraid of thieves.	26	they	People	People,dogs
Professors do a lot for students, but they are rarely respected.	38	they	Professors	Professors,students
Professors do a lot for students, but they are rarely thankful.	38	they	students	Professors,students
Professors give a lot of advice to students, because they are caring.	53	they	Professors	Professors,students
Professors give a lot of advice to students, but they rarely care.	49	they	students	Professors,students
Americans preferred Obama to McCain because he was younger.	44	he	Obama	Obama,McCain
Americans preferred Obama to McCain because he was too old.	44	he	McCain	Obama,McCain
Republicans preferred Romney to Perry because he said his supporters were heartless.	46	he	Perry	Romney,Perry
Republicans preferred Romney to Perry because he would not think his supporters were heartless.	46	he	Romney	Romney,Perry
Americans preferred Obama to McCain because he chose Joe Biden as his runing-mate.	44	he	Obama	Obama,McCain
Americans preferred Obama to McCain because he chose Sarah Palin as his running-mate.	44	he	McCain	Obama,McCain
Obama had a meeting with Cantor, where he attempted to secure his support of the jobs bill.	39	he	Obama	Obama,Cantor
Obama had a meeting with Cantor, where he showed his disapproval of his jobs bill.	39	he	Cantor	Obama,Cantor
The US president had a meeting with the Chinese president, where he told him to release political prisoners.	65	he	The US president	The US president,the Chinese president
The US president had a meeting with the Chinese president, where he told him not to interfere with China's internal policy.	65	he	the Chinese president	The US president,the Chinese president
The Saudi government beheaded eight Bangladeshis because they killed the Egyptian guard.	57	they	eight Bangladeshis	The Saudi government,eight Bangladeshis
The Saudi government beheaded eight Bangladeshis because they wanted to adhere to Islamic laws.	57	they	The Saudi government	The Saudi government,eight Bangladeshis
Bengali is morphologically richer than English, so its vocabulary is larger.	51	its	Bengali	Bengali,English
Bengali is morphologically richer than English, so its vocabulary is smaller.	51	its	English	Bengali,English
There is more NLP work on English than on Bengali because it has rich linguistic resources.	58	it	English	English,Bengali
There is more NLP work on English than on Bengali because it has little linguistic resources.	58	it	Bengali	English,Bengali
There is currently more work on coreference resolution than on chunking because it is a problem that is nearly solved.	80	it	chunking	coreference resolution,chunking
There is currently more work on coreference resolution than on chunking because it is a problem that is still far from being solved.	80	it	coreference resolution	coreference resolution,chunking
